meituan,ctrip,qunai,result
南京捡人吧青年旅社,南京捡人吧青年国际旅社,南京捡人吧青年国际旅社,yes
全季酒店(南京航空航天大学店),全季酒店(南京航空航天大学店)(原后标营店),全季酒店南京航空航天大学店,yes
锦江之星(南京莫愁湖店),锦江之星(南京莫愁湖店),锦江之星酒店南京莫愁湖店,yes
如家酒店(南京汉中门大街店),如家快捷酒店(南京汉中门大街店),如家快捷酒店南京汉中门大街店,yes
肯定连锁宾馆(山西路和平影城店),肯定宾馆连锁(南京和平影城店),南京肯定宾馆连锁南京和平影城店,yes
肯定连锁宾馆(山西路和平影城店),肯定宾馆连锁(南京和平影城店),南京肯定宾馆连锁南京和平影城店,yes
如家酒店(南京中山陵景区苜蓿园大街店)(原南京月牙湖锦湖大厦店),如家快捷酒店(南京中山陵景区苜蓿园大街店))(原南京月牙湖锦湖大厦店),如家快捷酒店南京月牙湖锦湖大厦店,yes
兰兰宾馆(夫子庙仙鹤街店),南京兰兰宾馆,南京兰兰宾馆,yes
黄埔大酒店,南京黄埔大酒店,南京黄埔大酒店,yes
虹桥饭店,南京虹桥饭店,南京虹桥饭店,yes
7天连锁酒店(南京玄武门地铁站湖南路店),7天连锁酒店(南京湖南路店),7天酒店南京玄武门地铁站湖南路店,yes
格林豪泰商务酒店(南京御道街店),格林豪泰(南京御道街店),格林豪泰酒店南京御道街店,yes
凯文宾馆,南京凯文宾馆,南京凯文宾馆,yes
莫泰酒店(南京火车站站前广场玄武湖店),莫泰168(南京火车站站前广场玄武湖店),莫泰连锁酒店南京火车站站前广场玄武湖店,yes
四方招待所,南京四方招待所,南京四方招待所,yes
格林豪泰快捷酒店(银桥场店),格林豪泰(南京银桥市场店),格林豪泰酒店南京银桥市场店,yes
琵琶山居酒店,南京琵琶山居酒店,南京琵琶山居中山风景区酒店,yes
海友酒店(南京凤凰西街店),海友酒店(南京凤凰西街店)(原审计学院店),海友酒店南京凤凰西街店,yes
榴莲小星酒店(云锦路地铁站店),榴莲小星快捷酒店(南京云锦路地铁站店),南京榴莲小星快捷酒店云锦路地铁站店,yes
汉庭(南京湖南路店),汉庭酒店(南京湖南路店),汉庭酒店南京湖南路店,yes
寒舍精品酒店(湖北路店),寒舍精品酒店(南京湖北路店),南京寒舍精品酒店湖南路店,yes
志友宾馆(丹凤街鼓楼医院店),志友宾馆(南京丹凤街店),南京志友假日酒店丹凤街鼓楼医院店,yes
清沐连锁酒店(南京南站大明路店),清沐连锁酒店(南京南站大明路店),清沐连锁酒店南京南站大明路店,yes
肯定连锁宾馆(军区总院西安门地铁站店),肯定连锁宾馆(南京瑞金路店),南京肯定旅馆瑞金路店,yes
新街口家庭旅馆,南京新街口家庭旅馆,南京新街口家庭旅馆,yes
清沐连锁酒店(南京山西路中山北路布料城店),清沐连锁酒店(南京中山北路布料城店),清沐连锁酒店南京山西路中山北路布料城店,yes
汉庭(南京雨花台景区店),汉庭酒店(南京雨花台景区店),汉庭酒店南京雨花台景区店,yes
尚客优快捷酒店(南京中华门地铁站店),尚客优快捷酒店(南京中华门地铁站店),南京尚客优酒店中华门地铁站店,yes
鑫起点快捷旅店,南京鑫起点快捷旅店,南京鑫起点快捷旅店,yes
如家酒店(南京盐仓桥广场双门楼虎踞北路店),如家快捷酒店(南京盐仓桥广场双门楼虎踞北路店),如家快捷酒店南京盐仓桥广场双门楼虎踞北路店,yes
锦江之星(南京林业大学花园路店),锦江之星(南京长途汽车东站店),锦江之星酒店南京长途汽车东站店,yes
